ID,DATE,REGION_CLUSTER,MAINTENANCE_VENDOR,MANUFACTURER,WELL_GROUP,S15,S17,S13,S5,S16,S19,S18,EQUIPMENT_FAILURE,S8,AGE_OF_EQUIPMENT
100001,12/2/2014,G,O,Y,1,11.088,145.223448,39.34,3501,8.426869,1.9,24.610345,0,0,880
100001,12/3/2014,G,O,Y,1,8.877943,187.573214,39.2,3489,6.483714,1.9,24.671429,0,0,881
100001,12/4/2014,G,O,Y,1,8.676444,148.363704,38.87,3459,6.159659,2,24.733333,0,0,882
100001,12/5/2014,G,O,Y,1,9.988338,133.66,39.47,3513,9.320308,2,24.773077,0,0,883
100001,12/6/2014,G,O,Y,1,8.475264,197.1816,40.33,3589,8.02296,1.5,24.808,0,0,884
100001,12/7/2014,G,O,Y,1,7.9711,164.545833,38.74,3448,6.645075,1.5,24.845833,0,0,885
100001,12/8/2014,G,O,Y,1,11.009948,175.852174,38.84,3457,6.401404,1.5,24.886957,0,0,886
100001,12/9/2014,G,O,Y,1,8.283491,136.767273,39.58,3523,8.507864,2.9,24.904545,0,0,887
100001,12/10/2014,G,O,Y,1,7.577143,182.293333,39.78,3540,9.884905,2.9,24.933333,0,0,888
100001,12/11/2014,G,O,Y,1,8.48736,203.375,39.54,3519,9.88383,3.3,24.945,0,0,889
100001,12/12/2014,G,O,Y,1,12.025263,126.893684,40.69,3621,7.293316,3.3,25,0,0,890
100001,12/13/2014,G,O,Y,1,11.9416,134.967222,39.61,3525,9.399222,3.3,25.072222,0,0,891
100001,12/14/2014,G,O,Y,1,12.652941,167.405294,39.37,3504,9.154994,3.3,25.152941,0,0,892
100001,12/15/2014,G,O,Y,1,7.695,138.071875,39.21,3490,6.15695,3.3,25.25625,0,0,893
100001,12/16/2014,G,O,Y,1,12.05232,194.8,39.44,3510,7.53548,3.3,25.353333,0,0,894
100001,12/17/2014,G,O,Y,1,11.853771,139.627143,38.85,3458,6.725371,3.3,25.435714,0,0,895
100001,12/18/2014,G,O,Y,1,21.12,0,38.76,3450,11.6604,3.3,154.5,0,0,896
100001,12/19/2014,G,O,Y,1,28.08,0,39.89,3550,9.7747,3.3,154.6,0,0,897
100001,12/20/2014,G,O,Y,1,30,0,39.34,3501,10.428,3.3,154.8,0,0,898
100001,12/21/2014,G,O,Y,1,18.96,0,40.13,3572,8.4461,3.3,155.3,0,0,899
100001,12/22/2014,G,O,Y,1,26.88,0,38.15,3395,10.6176,3.3,155,0,0,900
100001,12/23/2014,G,O,Y,1,23.28,0,39.6,3524,8.058,3.3,155,0,0,901
100001,12/24/2014,G,O,Y,1,19.44,0,39.66,3530,11.0084,3.3,155,0,0,902
100001,12/25/2014,G,O,Y,1,27.36,0,38.98,3469,11.376,3,154.9,0,0,903
100001,12/26/2014,G,O,Y,1,28.56,0,40.13,3572,11.5778,3,154.7,0,0,904
100001,12/27/2014,G,O,Y,1,20.4,0,38.84,3457,10.7237,3,154.4,0,0,905
100001,12/28/2014,G,O,Y,1,29.28,0,38.78,3451,8.7308,3,154.6,0,0,906
100014,12/2/2014,H,M,S,2,6.294538,106.510345,24.34,5184,9.165086,66,17.07931,0,0,760
100014,12/3/2014,H,M,S,2,8.464629,116.116071,24.19,5152,9.018536,66,17.017857,0,0,761
100014,12/4/2014,H,M,S,2,6.2856,166.688148,24.65,5250,6.525348,66,16.955556,0,0,762
100014,12/5/2014,H,M,S,2,5.892923,164.030769,25.6,5453,6.964596,66,16.907692,0,0,763
100014,12/6/2014,H,M,S,2,8.754336,144.9232,25.43,5416,5.571104,66,16.852,0,0,764
100014,12/7/2014,H,M,S,2,9.4428,114.87,25.42,5414,8.9426,66,16.808333,0,0,765
100014,12/8/2014,H,M,S,2,8.439443,159.984783,25.09,5344,9.088661,66,16.769565,0,0,766
100014,12/9/2014,H,M,S,2,7.822909,166.862727,24.22,5158,6.009855,66,16.740909,0,0,767
100014,12/10/2014,H,M,S,2,6.663771,138.129524,25.05,5336,8.355114,66,16.714286,0,0,768
100014,12/11/2014,H,M,S,2,9.0558,132.6475,26,5537,7.40128,66,16.695,0,0,769
100014,12/12/2014,H,M,S,2,7.898021,168.186316,24.79,5281,6.740695,66,16.673684,0,0,770
100014,12/13/2014,H,M,S,2,7.591733,138.089444,25.73,5481,8.644811,66,16.65,0,0,771
100014,12/14/2014,H,M,S,2,6.189176,124.402353,25.13,5352,7.476,66,16.635294,0,0,772
100014,12/15/2014,H,M,S,2,8.901,123.01875,24.63,5246,7.035,66,16.61875,0,0,773
100014,12/16/2014,H,M,S,2,5.808,103.917333,24.85,5294,8.35316,66,16.613333,0,0,774
100014,12/17/2014,H,M,S,2,9.685714,105.27,25.08,5341,8.937371,66,16.592857,0,0,775
100014,12/18/2014,H,M,S,2,26.4,0,24.7,5262,5.2065,66,103.9,0,0,776
100014,12/19/2014,H,M,S,2,22.32,0,25.52,5436,5.0285,66,103.8,0,0,777
100014,12/20/2014,H,M,S,2,20.16,0,24.31,5178,3.649,72,103.5,0,0,778
100014,12/21/2014,H,M,S,2,19.68,0,25.09,5344,4.005,72,103.3,0,0,779
100014,12/22/2014,H,M,S,2,19.68,0,24.38,5192,5.4735,72,103.1,0,0,780
100014,12/23/2014,H,M,S,2,22.56,0,24.42,5202,3.738,72,102.8,0,0,781
100009,12/2/2014,H,M,X,3,25.639448,15.448276,25.05,7639,7.410466,84.3,313.031034,0,0,320
100009,12/3/2014,H,M,X,3,25.347086,20.6,24.73,7542,6.264214,84.3,312.428571,0,0,321
100009,12/4/2014,H,M,X,3,27.267733,16.592593,24.09,7346,8.25,86.6,311.82963,0,0,322
100009,12/5/2014,H,M,X,3,24.097385,21.715,23.95,7304,8.784231,86.6,311.188462,0,0,323
100009,12/6/2014,H,M,X,3,26.44992,18.0468,25.09,7652,7.180096,86.6,310.372,0,0,324
100009,12/7/2014,H,M,X,3,25.254,21.119583,24.13,7360,7.485567,86.6,309.479167,0,0,325
100009,12/8/2014,H,M,X,3,24.277148,20.584783,24.32,7418,7.866961,86.6,308.569565,0,0,326
100009,12/9/2014,H,M,X,3,22.427782,28.103182,24.74,7547,7.866859,86.6,307.686364,0,0,327
100009,12/10/2014,H,M,X,3,27.085714,32.889524,24.04,7333,8.325005,86.6,306.814286,0,0,328
100009,12/11/2014,H,M,X,3,25.00032,32.0275,24.41,7444,9.01225,86.6,305.89,0,0,329
100009,12/12/2014,H,M,X,3,22.922779,25.211579,24.01,7323,6.949526,86.6,304.994737,0,0,330
100009,12/13/2014,H,M,X,3,18.099333,25.02,23.58,7191,7.55975,83.1,304.033333,0,0,331
100009,12/14/2014,H,M,X,3,22.432094,32.735882,24.26,7400,6.108235,83.1,303.1,0,0,332
100009,12/15/2014,H,M,X,3,25.57335,33.5325,24.38,7437,5.725781,83.1,302.7625,0,0,333
100009,12/16/2014,H,M,X,3,19.37152,39.362667,24.41,7446,7.175333,83.1,302.126667,0,0,334
100009,12/17/2014,H,M,X,3,25.766743,39.792143,24.23,7391,6.258943,83.1,301.357143,0,0,335
100009,12/18/2014,H,M,X,3,21.6,0,24,7320,4.2636,83.1,137.7,0,0,336
100009,12/19/2014,H,M,X,3,21.36,0,24.31,7415,2.8798,84.5,137.2,0,0,337
100009,12/20/2014,H,M,X,3,24.24,0,23.94,7303,3.366,84.5,136.5,0,0,338
100009,12/21/2014,H,M,X,3,21.6,0,24.12,7357,3.7774,84.5,136.4,0,0,339
100009,12/22/2014,H,M,X,3,23.04,0,23.79,7257,2.9546,84.5,136.1,0,0,340
100009,12/23/2014,H,M,X,3,24.72,0,23.7,7230,4.6376,84.5,135,0,0,341
100009,12/24/2014,H,M,X,3,24.72,0,24.02,7326,3.5904,84.5,134.6,0,0,342
100009,12/25/2014,H,M,X,3,25.44,0,24.02,7327,4.675,84.5,135.1,0,0,343
